<GO_0002694> <GO_0002682>
<HP_0001443> <HP_0001469>
<HP_0100534> <HP_0000591>
<HP_0004209> <HP_0009179>
<HP_0034760> <HP_0034573>
<HP_0040317> <HP_0012086>
<UBERON_0002195> <UBERON_0000440>
<HP_0410353> <HP_0410351>
<UBERON_0008596> <UBERON_0001577>
<HP_0041215> <HP_0041235>
<GO_0048589> <GO_0040007>
<UBERON_0012276> <UBERON_0006929>
<UBERON_0000317> <UBERON_0001207>
<CHEBI_62225> <CHEBI_33558>
<HP_0000778> <HP_0010515>
<PR_000030035> <PR_000000001>
<HP_0012790> <HP_0011849>
<HP_0032708> <HP_0032681>
<HP_0030522> <HP_0001133>
<HP_6000885> <HP_0003995>
<GO_0014819> <GO_0006942>
<HP_0100006> <HP_0002011>
<HP_0012134> <HP_0001877>
<HP_0010010> <HP_0005916>
<HP_0032698> <HP_0032680>
<HP_0031349> <HP_0001669>
<UBERON_0001249> <UBERON_0004120>
<HP_0033668> <HP_0007343>
<HP_0003843> <HP_0003839>
<HP_0009631> <HP_0009618>
<CHEBI_18237> <CHEBI_26167>
<CHEBI_35342> <CHEBI_36838>
<GO_0050817> <GO_0032501>
<HP_0007149> <HP_0003693>
<UBERON_0013122> <UBERON_0004448>
<HP_0030883> <HP_0001384>
<HP_0011472> <HP_0025129>
<HP_0010000> <HP_0009998>
<HP_0032128> <HP_0032127>
<GO_0044238> <GO_0008152>
<HP_0020296> <HP_0020233>
<CHEBI_17790> <CHEBI_15734>
<HP_0003760> <HP_0010548>
<HP_0040013> <HP_0012102>
<HP_0009678> <HP_0009662>
<HP_0032552> <HP_0025323>
<UBERON_0005946> <UBERON_0004145>
<HP_0000997> <HP_0001480>
<CHEBI_23965> <CHEBI_177917>
<HP_0010682> <HP_0003155>
<HP_0005207> <HP_0002577>
<UBERON_0011233> <UBERON_0007616>
<HP_0010090> <HP_0010063>
<UBERON_0012483> <UBERON_0000042>
<HP_0002777> <HP_0002778>
<HP_0004010> <HP_0010585>
<HP_0004471> <HP_0007385>
<HP_0006872> <HP_0007364>
<UBERON_0009913> <UBERON_0009912>
<HP_0007599> <HP_0007440>
<HP_0000032> <HP_0000811>
<HP_0010091> <HP_0010052>
<UBERON_0008836> <UBERON_0004185>
<HP_0410220> <HP_0410227>
<UBERON_0001260> <UBERON_0000042>
<HP_0035005> <HP_0034685>
<CL_1000330> <CL_0019001>
<HP_0010012> <HP_0005916>
<HP_0006865> <HP_0009830>
<HP_0009459> <HP_0009457>
<HP_0011950> <HP_0011948>
<GO_0002701> <GO_0002698>
<HP_0007989> <HP_0001147>
<CL_1001587> <CL_1001591>
<HP_0003841> <HP_0003839>
<UBERON_0005613> <UBERON_0003513>
<UBERON_8490036> <UBERON_0015212>
<PR_000025455> <PR_000018264>
<GO_0014015> <GO_0050769>
<HP_0030376> <HP_0025539>
<HP_0002647> <HP_0001679>
<HP_0032212> <HP_0032211>
<HP_0009196> <HP_0010577>
<HP_0025660> <HP_0002308>
<UBERON_0006847> <UBERON_0001020>
<HP_0100672> <HP_0000142>
<HP_0007617> <HP_0001000>
<GO_0097186> <GO_0042475>
<HP_0002910> <HP_0430135>
<PR_000005178> <PR_000001403>
<HP_6001117> <HP_0040071>
<HP_0032707> <HP_0032681>
<HP_0012489> <HP_0100702>
<HP_0005190> <HP_0001187>
<HP_3000017> <HP_0410011>
<HP_0032785> <HP_0032740>
<HP_0004993> <HP_0003100>
<HP_0100326> <HP_0010978>
<HP_0009227> <HP_0009374>
<HP_0009247> <HP_0009174>
<UBERON_0018554> <UBERON_0016476>
<HP_0004226> <HP_0009838>
<HP_0004897> <HP_0003128>
<HP_0007905> <HP_0000525>
<HP_0034458> <HP_0040156>
<GO_0002784> <GO_0002700>
<CHEBI_15792> <CHEBI_133291>
<HP_6000415> <HP_6000590>
<HP_4000123> <HP_0032443>
<HP_0009458> <HP_0009460>
<HP_0032782> <HP_0032771>
<UBERON_0003292> <UBERON_0005174>
<GO_0016020> <GO_0110165>
<HP_0031046> <HP_0100736>
<HP_0000378> <HP_0000377>
<HP_0010891> <HP_0003468>
<HP_0002540> <HP_0001288>
<HP_0009609> <HP_0010006>
<CHEBI_25710> <CHEBI_33285>
<UBERON_5003623> <UBERON_5002389>
<CHEBI_146500> <CHEBI_22484>
<UBERON_0008434> <UBERON_0004247>
<CHEBI_29995> <CHEBI_61336>
<CL_1000223> <CL_0000098>
<GO_0001961> <GO_0009967>
<CHEBI_35875> <CHEBI_27171>
<HP_0011557> <HP_0001750>
<PATO_0040030> <PATO_0000574>
<HP_0030387> <HP_0030375>
<CHEBI_63070> <CHEBI_49095>
<HP_0200123> <HP_0012115>
<GO_0032885> <GO_0010556>
<HP_0009108> <HP_0009103>
<HP_0010330> <HP_0010161>
<HP_0010100> <HP_0010066>
<UBERON_8300002> <UBERON_0002102>
<UBERON_0003596> <UBERON_0003595>
<HP_0000493> <HP_0001103>
<HP_0031405> <HP_0012842>
<HP_0002562> <HP_0004404>
<HP_0004616> <HP_0008438>
<UBERON_0005969> <UBERON_0000479>
<HP_0009420> <HP_0009320>
<CHEBI_38560> <CHEBI_36080>
<HP_0500224> <HP_0500215>
<HP_0009609> <HP_0010009>
<UBERON_0000084> <UBERON_0000083>
<UBERON_0002483> <UBERON_0002481>
<GO_0006705> <GO_0008212>
<HP_0100718> <HP_0031105>
<HP_0002056> <HP_0000290>
<HP_6000791> <HP_0012703>
<GO_0050794> <GO_0050789>
<HP_0012815> <HP_0000055>
<HP_0033286> <HP_0004722>
<HP_5200270> <HP_5200242>
<UBERON_0000383> <UBERON_0011216>
<HP_0030001> <HP_0000492>
<CHEBI_18183> <CHEBI_83822>
<UBERON_0002048> <UBERON_0015212>
<GO_0002523> <GO_0050900>
<HP_0009778> <HP_0009601>
<CHEBI_68485> <CHEBI_60948>
<UBERON_0018589> <UBERON_0013620>
<UBERON_0003066> <UBERON_0002539>
<CHEBI_35931> <CHEBI_83820>
<UBERON_0010891> <UBERON_0014892>
<HP_0025108> <HP_0025104>
<CL_0000593> <CL_0000174>
<CHEBI_17128> <CHEBI_133291>
<HP_0030216> <HP_0000745>
<UBERON_8600006> <UBERON_8600004>
<HP_0012628> <HP_0004328>
<UBERON_0001482> <UBERON_0014892>
<HP_0030121> <HP_0030119>
<HP_0100480> <HP_0010378>
<HP_6000469> <HP_0034653>
<HP_0009676> <HP_0009687>
<HP_0500265> <HP_0020177>
<UBERON_0004810> <UBERON_0004211>
<HP_0100648> <HP_0100649>
<HP_0009325> <HP_0009334>
<HP_0001982> <HP_0004311>
<HP_0032431> <HP_0032426>
<HP_0003832> <HP_0002992>
<HP_0004291> <HP_0004280>
<HP_0032801> <HP_0032687>
<HP_0000113> <HP_0000107>
<CHEBI_32988> <CHEBI_51143>
<HP_0004347> <HP_0001324>
<HP_0000710> <HP_5200065>
<HP_0004209> <HP_0040019>
<UBERON_0011582> <UBERON_0004120>
<CHEBI_13850> <CHEBI_38560>
<HP_0002822> <HP_0003366>
<HP_0410176> <HP_0010876>
